size,Torch,Triton,Third
4096.000000,9.600000,11.680609,9.721519
8192.000000,19.200000,19.200000,19.200000
16384.000000,38.400001,38.400001,38.400001
32768.000000,66.964578,63.999998,72.070380
65536.000000,99.296973,108.984479,101.553721
131072.000000,139.636363,139.636363,139.636363
262144.000000,190.881545,192.000000,192.000000
524288.000000,192.000000,196.903348,195.144419
1048576.000000,219.919464,219.551087,223.418180
2097152.000000,234.057145,232.465865,236.307695
4194304.000000,240.407188,239.765849,240.941181
8388608.000000,250.545816,249.839406,250.775518
16777216.000000,254.107838,254.015499,254.673575
33554432.000000,258.325631,257.340315,256.836052
67108864.000000,260.580523,260.278673,259.891607
134217728.000000,262.384524,261.686049,259.841964
