N,Torch,Triton
256.000000,230.274058,186.437442
384.000000,236.905675,199.794611
512.000000,237.741506,214.212820
640.000000,244.561117,215.015346
768.000000,245.354304,221.195397
896.000000,244.513025,219.844690
1024.000000,250.140613,214.383643
1152.000000,190.124404,219.342431
1280.000000,204.051257,226.408146
1408.000000,213.642465,227.999246
1536.000000,221.805929,228.285609
1664.000000,226.501748,227.692204
1792.000000,232.693261,228.410012
1920.000000,236.110737,233.639268
2048.000000,247.624764,231.504332
2176.000000,249.054524,230.431787
2304.000000,250.058539,231.953646
2432.000000,251.180730,236.399429
2560.000000,250.294490,236.941332
2688.000000,250.937038,237.624441
2816.000000,249.121139,238.297432
2944.000000,248.799414,239.255318
3072.000000,249.312537,240.135884
3200.000000,249.857579,242.399265
3328.000000,251.244400,239.259685
3456.000000,249.112675,242.078618
3584.000000,250.781809,238.686283
3712.000000,251.576777,235.848478
3840.000000,252.604565,240.714172
3968.000000,251.723529,236.141173
4096.000000,251.341461,239.350539
4224.000000,251.350675,248.750319
4352.000000,252.372960,248.994779
4480.000000,252.491803,249.723909
4608.000000,253.341033,249.599486
4736.000000,252.428482,249.224755
4864.000000,253.099870,250.308206
4992.000000,252.732896,250.947485
5120.000000,253.186887,248.815130
5248.000000,253.861887,248.209140
5376.000000,253.972860,247.352696
5504.000000,253.231046,251.324208
5632.000000,253.294325,251.518975
5760.000000,253.164502,251.451570
5888.000000,252.706358,252.057362
6016.000000,252.245518,252.153668
6144.000000,251.769905,251.857970
6272.000000,253.250507,253.049614
6400.000000,253.754546,253.358962
6528.000000,253.158101,254.211105
6656.000000,254.653269,254.286206
6784.000000,254.765062,254.643942
6912.000000,254.683943,253.926050
7040.000000,252.835153,255.145955
7168.000000,254.244091,254.346341
7296.000000,254.043373,255.159671
7424.000000,253.952356,254.918897
7552.000000,252.495357,255.119004
7680.000000,253.294404,254.838631
7808.000000,253.958048,255.991455
7936.000000,253.091030,255.002613
8064.000000,252.731005,255.609502
8192.000000,253.822248,254.263850
8320.000000,254.139964,251.993977
8448.000000,253.307795,251.915352
8576.000000,252.716801,252.232429
8704.000000,253.389628,250.947323
8832.000000,253.583656,252.557482
8960.000000,253.592601,250.848062
9088.000000,254.305131,251.922140
9216.000000,254.621747,251.699937
9344.000000,255.076147,252.281166
9472.000000,254.913437,250.512667
9600.000000,254.379528,251.931031
9728.000000,253.167781,251.312031
9856.000000,253.943444,252.054823
9984.000000,253.457780,251.245274
10112.000000,254.379130,251.228582
10240.000000,253.098941,251.969319
10368.000000,254.062839,251.245536
10496.000000,254.394003,252.080916
10624.000000,253.942163,252.992880
10752.000000,254.498346,252.083419
10880.000000,254.359165,252.203513
11008.000000,254.712768,252.228843
11136.000000,255.189986,253.031031
11264.000000,254.291264,252.390463
11392.000000,254.292616,253.104663
11520.000000,253.825525,253.047730
11648.000000,253.570778,251.761894
11776.000000,254.362580,252.403415
11904.000000,253.691040,253.073746
12032.000000,254.391368,252.226415
12160.000000,253.946550,253.241656
12288.000000,253.310330,252.868131
12416.000000,253.769425,253.110449
12544.000000,253.828196,253.361825
12672.000000,253.866285,253.972551
